ohqz,Legal Aid of Marin,"Legal Aid of Marin provides services to low-income Marin county residents in the areas of housing, consumer, employment, elder law, and for individuals in the Marin Community Court – a court that meets once a month to resolve lifestyle infractions (camping/sleeping in parks, jaywalking, open container, etc.). Legal Aid of Marin also does limited family law cases, but only when the Family and Children’s Law Center cannot take a case because of a conflict. Family law inquiries should first be directed to the Family and Children’s Law Center."
fvag,Legal Services for Children (LSC),"LSC primarily handles the following matters on behalf of young people: guardianship, foster care, emancipation, school cases, immigration, and tickets."
rgws,Legal Aid Society of San Mateo County,"The Legal Aid Society of San Mateo County provides assistance for low-income San Mateo residents in the areas of healthcare, public benefits, housing, domestic violence, and special education, and provides legal help specifically for seniors, adults with disabilities, and teen parents."
bnvy,Marin County Public Defender,"For active criminal cases or warrants, your client was likely assigned a public defender or can get help from the public defender's office in the county in which it occurred. While the PDs can sometimes be hard to reach, they are the best suited to assist the client unless the client wants to pay for private counsel."
rdpc,Mission Economic Development Association (MEDA),"MEDA offers a Financial Coaching + Education Program. While non-legal in nature, the SF Bar Association provides legal services at MEDA once a month, so if the counseling process brings up a legal question, the client may be directly scheduled to meet with the SF Bar Association at MEDA."
duom,Pangea Legal Services,"Pangea offers a wide range of immigration legal services on a sliding scale. A few cases are done for free (pro bono), but most carry low fees. The focus of Pangea’s work is deportation defense."
arwq,Police Complaints (in SF),"When a client has a bad encounter with a police officer, he/she can file a complaint with the Office of Citizen Complaints, which is investigated by the Office."
slkt,Positive Resource Center,The Positive Resource Center primarily provides legal representation on benefits issues for people with HIV/AIDS or for those with mental health issues referred by specific Department of Public Health sites.
irae,Pro Bono Project,"A Family Law focused clinic. Holds pro per clinics, helps complete forms, and in some cases can provide limited representation in the areas of divorce, parentage, or domestic violence."
kgxt,"Project Sentinel
","Provides counseling on fair housing issues, as well as other landlord/tenant issues."
czdo,Marin County Public Defender Expungement Division,"When calling, ask for the record expungement division. This is the record-cleaning division of the Marin County Public Defender. They should be able to give individualized information on whether aspects of a record are expungeable. "
oekx,San Francisco Public Defender (SFPD),"The San Francisco Public Defender represents clients with active state criminal cases or warrants in SF, assuming the client cannot afford a private attorney. While your client may not know the name of his/her public defender, and the public defenders can be hard to reach, they are the best suited to assist the client unless the client wants to pay for private counsel. 

Note that if the client has questions related to criminal actions, or potential criminal actions, in another County, he/she must contact the public defenders office in that county and/or the federal public defenders for that region."
gprm,SF Marin Food Bank Food Bank Outreach Program,"This program helps clients apply for and obtain CalFresh benefits. They are not lawyers, but they can help clients through many steps of the process, and can triage to legal help if needed."
hpum,SF Pathways to Citizenship Initiative,"This initiative is a project of a number of organizations. It aims to streamline the citizenship application process for individuals who already have a green card. Your client must have a green card to access services.
At the clinic, the staff will go over the naturalization process and assess individual eligibility. Eligible individuals will also receive help with application preparation, documentation packaging, and review by an attorney or qualified representative. This is a San Francisco event, but other similar events are held regularly in other counties."
wpmi,"San Jose State Record Clearance Project 
","This organization within San Jose State University will help review rap sheets, provide information about potential expungement, and, in some cases, provide representation for record clearing."
ljmb,San Mateo County Private Defender Program,"For active criminal cases or warrants, your client was likely assigned a public defender or can get help from the public defender's office in the county in which it occurred. While the PDs can sometimes be hard to reach, they are the best suited to assist the client unless the client wants to pay for private counsel."
pdrq,Santa Clara County Public Defender,"For active criminal cases or warrants, your client was likely assigned a public defender or can get help from the public defender's office in the county in which it occurred. While the PDs can sometimes be hard to reach, they are the best suited to assist the client unless the client wants to pay for private counsel."
yrfz,SIREN,"Provides legal services for naturalization, DACA, Green Card Renewals, Family Immigration, Work Permits, Citizenship Background checks, FBI background checks, and other areas."
wkrt,Social Justice Collaborative (SJC),"SJC is an immigration non-profit that focuses on removal/deportation defense, and especially on complicated cases (ex: those with criminal records or federal immigration litigation). They are located in Oakland, but serve clients in all counties."
vrps,Sparkpoint,"Free credit counseling/credit repair, benefit screenings, career development, tax preparation, and other services."
vfen,SSA.gov,Apply for SSI/SSDI using the link below:
akgb,Swords to Plowshares,"Swords to Plowshares provides attorney representation and consultation to veterans of any era and discharge status, and can help veterans with VA benefits and military discharge upgrades.
Swords also helps veterans access the benefits they have earned, avoid or escape homelessness, increase financial stability, and focus on long-term health and well-being."
tqvi,Transgender Law Center,"Through its helpline, the Transgender Law Center provides information and advice about issues related to gender expression (gender and name change, employment discrimination, health care access, public accommodations discrimination, etc.). Full representation is typically reserved for cases with a potential far-reaching legal impact."
mfnb,Warrants Clinic,"This is a good resource for clients with warrants outside of SF, or those who are curious if they have warrants. If a client has a warrant in SF, he/she should be directed to the SF Public Defender. 

This is a clinic of UC Hastings students supervised by attorneys (from the Homeless Advocacy Project and a law firm, Orrick). The schedule is dictated in part by the academic calendar."
Warrants Clinic,"This is a good resource for clients with warrants outside of SF, or those who are curious if they have warrants. If a client has a warrant in SF, he/she should be directed to the SF Public Defender. 

This is a clinic of UC Hastings students supervised by attorneys (from the Homeless Advocacy Project and a law firm, Orrick). The schedule is dictated in part by the academic calendar.",
ACLU of Northern California,The ACLU does not take on many individual clients and typically represents clients on notable civil rights/liberties cases only.,
Arab Resource and Organizing Center,Focus is on providing services to Arab and Muslim clients.,
Asian Law Alliance,Provides legal assistance to low income people.,
Catholic Charities,,
Child Trauma Research Program (CTRP),"CTRP provides assessment and treatment to children birth through five who have experienced interpersonal traumas, including but not limited to witnessing domestic violence, physical and sexual abuse, separation from a caregiver, and community violence. Can provide U-Visa support for clients.",
Childcare Law Center,"Childcare Law Center provides parents, child care providers, and legal service providers with childcare law advice.",
Chinatown CDC,Chinatown CDC provides non-legal housing counseling on a variety of housing-related issues.,
"Clean Slate intake: SF, Alameda, Contra Costa, Fresno, San Diego, Santa Clara, Santa Cruz, or Solano Counties","If clients have a conviction(s) in SF, Alameda, Contra Costa, Fresno, San Diego, Santa Clara, Santa Cruz, or Solano Counties, they can submit their information through this easy online interface created by Code for America. Their application for record cleaning help will go directly to the Public Defender's office in the relevant county and/or a non-profit legal organization working on record cleaning. This is an easy application that caseworkers can do with clients to get the process started right away.",
Community Alliance for Special Education,"In addition to direct representation, CASE can also design trainings for parents and staff on how to best advocate for children with disabilities.",
Community Boards,"Community Boards provides mediation services for conflicts that arise between family, friends, neighbors, co-workers, employers, business partners, vendors, customers, and others. The mediation could be used in place of a legal process or it could just be to help people have difficult conversations. Community Boards will not mediate disputes where there is violence, threats, or a restraining order involved.",
Marin County Probation Department,"If you were on probation, then the Probation Department is available to help with record expungement. Usually a fee of $55 is charged.",
DACA Resources,,
Department of Building Inspection,Individuals can report habitability issues to the Department of Building Inspection. Note that clients that live in an illegal unit should consult with an attorney or housing counselor before contacting DBI.,
Disability Rights California,Disability Rights California provides advice on issues affecting people with disabilities.,
Equal Rights Advocates (ERA),"ERA is currently only accepting inquiries related to the California Fair Pay Act, Federal Equal Pay Act, and Wage Discrimination.",
GLIDE Memorial “Unconditional Legal Clinic”,The “Unconditional Legal Clinic” at GLIDE provides information and referrals for clients on any legal issue. There are no eligibility requirements and clients do not need to be GLIDE clients or Tenderloin residents.,
Human Services Agency of San Francisco: CalWorks,You can apply for CalWorks using the link below.,
"Immigration Center for Women and Children, Asylum (ICWC)",https://projectlegallink.org/resources/immigration-center-women-children-asylum-icwc/,
"Immigration Center for Women and Children, DACA Services (ICWC)","During your appointment ICWC will complete the intake and application. The cost for representation on DACA initial applications is generally $400 and for DACA renewals, $300.",
Instituto Laboral de la Raza,"Instituto Laboral provides legal advocacy for denied wages and other benefits, and provides referrals to law firms for other work-related issues.",
Jewish Family & Children’s Services,"The JFCS Legal Services Department provides assistance with immigration law, conservatorships, Holocaust survivor restitution claims, and disabilities issues, with a focus on immigration law.",
La Casa de las Madres,La Casa de las Madres provides assistance with restraining orders only in emergency situations. They mostly refer clients to CROC.,
Legal Advice and Referral Clinic of JDC (LARC),"Attorneys from the following specialties are typically present: bankruptcy, business issues, consumer, contracts, criminal, employment, estate planning, family, housing, immigration, personal injury, probate, and others.",
Legal Aid At Work (Formerly Employment Law Center) – Wage Claim Clinic,"Staff and volunteers at the clinic will help clients file a wage claim, which is the first step necessary to recover unpaid wages.",
Legal Assistance to the Elderly (LAE),"The focus of LAE’s services is on housing, public benefits, elder abuse, wills, health care, and consumer law/debt collection.",
Legal Services for Prisoners with Children,"This organization provides services to incarcerated and formerly incarcerated individuals. They provide advice on family law, probate guardianships, prisoner rights, domestic violence, parole law, and restoration of civil rights (employment law, housing, benefits and voting).",
National Center for Lesbian Rights,"NCLR provides resources and information on a broad range of LGBT-related topics (especially custody, divorce, and immigration), and representation for LGBT cases with potential for significant impact.",
Office of Civil Rights: U.S. Department of Education,"This is the governmental entity that investigates complaints of discrimination  on the basis of race, color, national origin, sex, disability and age in schools.",
Post-Election Immigration Resources,,
Prior Eviction Information,,
Project 20,Clients can sign up for Project 20 to do community service in lieu of paying a fine for an SF parking ticket or traffic violation. Note that the community service is valued at a rate of $10/hour and there is an enrollment fee (calculated on a sliding scale).,
Santa Clara County Public Defender Expungement Office,"This office is a part of the Santa Clara County Public Defender's office, and can help people clear certain convictions from their record. Call the office for individualized information on whether aspects of a criminal record can be expunged, and the best way to go about having a record expunged.",
Red Light Legal,Red Light Legal provides advice for sex workers about laws that affect people in the sex industry.,
Root + Rebound,Root + Rebound provides information and advice to the re-entry community on a large range of topics and has a self-help manual for re-entering individuals and their advocates to use.,
San Francisco Office of Citizen Complaints,This is the office that accepts and investigates complaints regarding police.,
San Francisco Victim Services Office,"SF’s Victim Services Office, which is part of the District Attorney’s office, provides victims of crime with information about victim’s rights, guidance regarding the court system, and referrals. They also assist with applications for the California Victim Compensation Program.",
Tahirih Justice Center,"Tahirih will help women and girls who have a legitimate claim to legal status under gender-based asylum, The Violence Against Women Act (VAWA), T-Visas, U-Visas, Special Immigrant Juvenile Status (SIJS)",
Tenants Union,"The Tenants Union provides non-legal online information, advocacy, and in-person counseling on housing matters in SF. They act more as a support center for self help than as a legal advocate, and are mostly run by volunteers.",
Tenderloin Housing Clinic,"Tenderloin Housing Clinic primarily represents seniors, the disabled, and minority and immigrant families, often in eviction proceedings or in efforts to address substandard housing conditions.",
The Women’s Building – Immigration Advice + Referrals,"Two private immigration practitioners hold open office hours at The Women’s Building and provide consults, advice and referrals on any immigration issue.",
Ticket Information: Quality of Life + Muni Tickets (FOR PROVIDERS ONLY),"There is not always a clear or available legal resource for help with tickets (muni tickets, qualify of life tickets, other tickets in traffic court). Legal Link has put together some information for providers to help clients navigate this system and a list of potential referrals.",
United Way Tax Prep Help,The United Way lists tax prep sites across the Bay Area where low-income people can access free tax prep help. This is not legal help.,
Youth-Specific Legal Services in SF,,
Appeals . . . Resolving Tax Disputes,This is an independent organization within the IRS whose mission is to help taxpayers and the Government resolve tax disagreements. Appeals does not seek to take sides in a dispute; instead they offer an objective view of each side of the case. They review each case after the applicable IRS compliance has made its decision and work to resolve disagreements in the case on a basis that is fair and impartial to both the Government and the taxpayer. This helps clients resolve IRS disputes without going to court.,
